filepath,label,class_name
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_19.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_143.png,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_118.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_135.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_75.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_75.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_21.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_88.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_5.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_109.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_64.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_181.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_139.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_23.jpg,2,Discuss
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_12.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Beta\Bete_43.jpg,0,Beta
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_64.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Oscar\Oscar_119.jpg,5,Oscar
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_190.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_75.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Cray\Cray_44.jpg,1,Cray
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Gold\Gold_70.jpg,3,Gold
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_61.png,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Guppy\Guppy_57.jpg,4,Guppy
C:\Users\super\OneDrive - Wichita State University\Summer26\Homework1\images\input\Homework3\Fish\Discuss\Discuss_160.jpg,2,Discuss
