experiment,learning_rate,batch_size,dropout_rate,epochs_completed,validation_loss,validation_accuracy
6,0.001,32,0.5,8,0.6461282968521118,0.8026315569877625
5,0.001,32,0.3,7,0.7324365973472595,0.7368420958518982
8,0.001,64,0.5,8,0.7385562658309937,0.7828947305679321
9,0.0001,32,0.3,8,0.8691524863243103,0.7039473652839661
10,0.0001,32,0.5,8,0.9222791790962219,0.6710526347160339
11,0.0001,64,0.3,8,1.022178053855896,0.5789473652839661
2,0.01,32,0.5,8,1.030824899673462,0.6184210777282715
4,0.01,64,0.5,8,1.0319452285766602,0.6052631735801697
1,0.01,32,0.3,8,1.0596439838409424,0.5657894611358643
7,0.001,64,0.3,4,1.0642518997192383,0.6118420958518982
12,0.0001,64,0.5,8,1.064866542816162,0.6118420958518982
3,0.01,64,0.3,4,1.4484611749649048,0.42105263471603394
